序号,英文,中文释义,,
705,avow,公开承认，公开声称,,
706,asset,优点，长处，有利条件,,
707,collaborate,合作，协作,,
708,hectic,繁忙的，忙乱的,,
709,duplicate,复制,,
710,border on,近乎于……，几乎是……,,
711,antiquarian,古文物的，收藏古文物的,,
712,purport,声称，自称，假称,,
713,accretion,增加，积累,,
714,sensuality,感官享受，肉体享受,,
715,sensuous,愉悦感官的，带来感官享受的,,
716,sensory,感觉的，感官的,,
717,tortuous,转弯抹角的，复杂的，曲折的,,
718,impenetrable,无法理解的,,
719,penetrating,深刻的，富有洞察力的,,
720,elicit,引起，使发出,,
721,sleazy,卑鄙的，肮脏的，不道德的,,
722,outlandish,希奇古怪的，奇特的,,
723,received,普遍认可的，权威的，公认的,,
724,reception,反应，反响,,
725,redundancy,多余，冗余，累赘,,
726,redundant,过多的，多余的，累赘的,,
727,corollary,必然结果，直接结果,,
728,paraphernalia,随身物品，装备,,
729,instability,不稳定，不稳固,,
730,razor-sharp,极为锋利的，极为犀利的,,
731,champion,捍卫，拥护，支持，捍卫者，支持者,,
732,iconoclastic,反传统的，攻击传统的,,
733,naive,幼稚的，天真的,,
734,naiveté,幼稚，天真,,
735,exemplar,模范，典范,,
736,deem,认为，视为,,
737,extremist,极端主义者，极度狂热者,,
738,predilection,偏爱，偏好,,
739,ample,大量的，充裕的，丰富的,,
740,inexorable,不容变更的，不可阻挡的,,
741,insidious,阴险的，暗中为害的,,
742,genre,体裁，流派,,
743,datable,可确定来自……年代的,,
744,awry,出错的，出岔子的，偏离预期的,,
745,intervention,干涉，干预，介入,,
746,decision-making,做决策,,
747,pertinacity,坚持，坚定,,
748,confront,勇敢地面对，正视，对抗,,
749,confrontation,对抗，冲突,,
750,exhilarating,令人高兴的，使人振奋的,,
751,heretofore,直到此时，迄今为止，在这之前,,
752,conducive,有帮助的，有益的,,
753,instinctive,出于本能的，凭直觉的,,
754,upheaval,剧变，动荡,,
755,burgeon,迅速生长，繁荣发展,,
756,annihilate,彻底消灭,,
757,discern,发现，觉察,,
758,discernment,洞察力，敏锐，精明,,
759,transparent,浅显的，易懂的，明显的,,
760,trifling,微不足道的，无足轻重的,,
761,tease,翻检出，挑出,,
762,haphazard,随意的，毫无条理的,,
763,naysay,拒绝，否认，反对,,
764,budding,正发芽的，发展中的,,
765,wild-eyed,完全不切实际的，想法过激的,,
766,boorish,粗野的，粗俗的,,
767,enviable,令人羡慕的，令人嫉妒的,,
768,removed,远离的，相去甚远的，截然不同的,,
769,comic strips,连环画,,
770,astringent,严厉的，尖刻的,,
771,punctuate,打断，使置于……之中,,
772,misinterpret,误解,,
773,consolidate,巩固，加强,,
774,pertain,相关，适用，切题,,
775,pertinent,相关的，适用的，切题的,,
776,impertinent,无礼的，冒昧的，离题的，不相关的，不关紧要的,,
777,panache,神气十足，潇洒的气质,,
778,expedient,权宜之计，应急的手段,,
779,sagacious,睿智的，聪慧的,,
780,infectious,传染性的，有感染力的,,
781,forsake,放弃，抛弃,,
782,hindsight,事后的认识，事后聪明,,
783,radical,极端的，过激的，激进的,,
784,pitiful,可怜的，可悲的，极为差劲的,,
785,insuperable,不可逾越的，不能克服的，抑制不住的,,
786,egalitarian,平等主义的，主张人人平等的,,
787,medieval,中世纪的,,
788,indicator,指示者，指示物,,
789,indicative,表明……的,,
790,unimpeachable,无可置疑的，无可指责的,,
791,assume,假定，假想，认为，承担，接受,,
792,assumption,假定，臆断,,
793,unassuming,不自大的，谦逊的,,
794,nurture,养育，培育，教养,,
795,heartfelt,衷心的，诚挚的，发自内心的,,
796,parallel,相似的事物，与……相当的事物，与……相呼应，与……类似,,
797,bemuse,使困惑，使茫然,,
798,erode,逐步毁坏，削弱，损害,,
799,erosion,削弱，减少，损害,,
800,employ,使用，利用,,
801,pedigree,起源，由来,,
802,delude,欺骗，哄骗,,
803,delusive,虚假的，欺骗性的,,
804,modest,谦虚的，谦逊的，谦恭的，有限的，不多的，不奢侈的,,
805,modesty,谦虚,,
806,analogue,相似物，类似情况,,
807,analogous,相似的，类似的,,
808,endorse,赞同，支持，认可,,
809,insufficient,不足的，不充分的,,
810,feminist,女权主义的,,
811,reconstruct,修复，重建,,
812,lingering,拖延的，长久的，迟迟不去的,,
813,downplay,对…轻描淡写，贬低，低估,,
814,falsehood,谎言,,
815,anthology,选集,,
816,outright,全部地，完全地，彻底地,,
817,redouble,加强，大大增加,,
818,frenzy,狂热，疯狂，极度的激动,,
819,forbidding,样子可怕的，令人生畏的,,
820,countermand,撤销，取消,,
821,placebo,安慰剂，无效对照剂，医疗实验中用于对照组的没有治疗效果的药物,,
822,introspective,自省的，好自省的,,
823,idiosyncrasy,独特之处，与他人不同的特点,,
824,idiosyncratic,特有的，独特的，与他人不同的,,
825,impulse,冲动，一时的念头,,
826,impulsive,冲动的，易冲动的，由冲动造成的,,
827,precarious,不牢靠的，不稳妥的，危险的,,
828,salutary,有益的，有利的,,
829,putative,普遍认为的,,
830,inert,没有活力的，惰性的,,
831,inertia,不活动，惰性，迟钝,,
832,inertial  ,惰性的，惯性的,,
833,strait,困境，窘境,,
834,childbearing,生育,,
835,mendacity,撒谎，欺骗,,
836,inductive,归纳的,,
837,generic,一般的，普通的，通用的,,
838,senescence,衰老，变老,,
839,grandiose,宏伟的，壮丽的,,
840,grandiosity,夸张，宏伟,,
841,grandeur  ,壮丽，辉煌,,
842,pledge,承诺，保证，发誓,,
843,exigent,急需的,,
844,specious,似是而非的，欺骗性的,,
845,painstaking,极为仔细的，一丝不苟的,,
846,decrepitude,衰老，破旧,,
847,elation,极为高兴，兴高采烈,,
848,tedious,冗长乏味的,,
849,prophetic,预言的，预示的,,
850,obfuscate,使混乱，使难懂，使不清楚,,
851,persuasive,有说服力的，能说得使人相信的,,
852,prohibition,禁止,,
853,oblivious,不知道的，不在意的,,
854,animus,恶意，敌意,,
855,obtain,得到，获得,,
856,surge,急剧上升，激增,,
857,upsurge,增长，急剧上升,,
858,tribute,歌颂，致敬，感激,,
859,intermediary,调解人，中间人,,
860,adduce,引证，举出,,
861,spiteful,恶意的，怀有恶意的，怀恨在心的,,
862,hold (or keep) someone/something at bay,抵抗，防止……产生影响,,
863,provincialism,地方主义，地方观念，狭隘,,
864,conspire,共同导致,,
865,enormous,极大的，巨大的,,
866,enormity,巨大，广大,,
867,upshot,结果，结局,,
868,ingenious,聪明的，有创造力的，足智多谋的，巧妙的，新奇的,,
869,ingenuity,聪明，巧妙，创新,,
870,diplomatic,外交的，从事外交的,,
871,turbulent,动荡的，混乱的,,
872,resentment,忿恨，怨恨,,
873,subvert,颠覆,,
874,subversive,颠覆传统的，颠覆既有事物的,,
875,subversion,颠覆，颠覆政权，颠覆传统,,
876,strive,努力，奋斗,,
877,insufferable,不能容忍的，难以忍受的,,
878,incendiary,煽动性的,,
879,induce,引起，导致，诱使,,
880,corroborate,证实，证明,,
881,succinct,简明的，简洁的，简练的,,
882,coddle,娇生惯养，溺爱,,
883,aver,断言，坚称,,
884,auspicious,顺利的，有利的,,
885,redesign,重新设计，重新制订,,
886,drastic,激烈的，迅猛的，猛烈的,,
887,natter,闲聊,,
888,dishearten,使沮丧，使灰心,,
889,meet,得到，获得,,
890,sycophancy,谄媚，拍马屁,,
891,sycophantic,谄媚的，拍马屁的,,
892,lament,为…悲痛，哀悼，痛惜,,
893,flit,掠过，轻快地移动,,
894,shrill,尖声说出，尖叫,,
895,attune,使适应，使符合,,
896,keen,热切的，热情的，敏锐的,,
897,acquired,后天习得的,,
898,acquisition ,取得，获得,,
899,runoff,流走，流失，地表径流,,
900,per capita,人均的，人均地,,
901,perish,被摧毁，毁灭，消亡，死亡，灭亡,,
902,fad,一时的风尚，一时的狂热,,
903,affirm,断言，坚持声称，支持，证实,,
904,affirmative,肯定的,,
905,pathological,病态的，过度的，过分的,,
906,loath,不愿意的，厌恶的,,
907,populist,平民主义者，平民论者,,
908,privation,缺乏，匮乏，失去,,
909,synonym,同义词，,,
910,synonymous,同义的，意思相同的,,
911,moderate,减轻，使缓和，使克制，不极端的，温和的,,
912,cast-iron,坚定的，不妥协的，强有力的,,
913,accumulation,堆积，积累，积聚,,
914,chivalrous,彬彬有礼的，殷勤的,,
915,bootless,没有用的，没有效的,,
916,engage,使参与，使从事，使做某事，参与，从事，做，探讨，讨论,,
917,engaging  ,有吸引力的，迷人的,,
918,flaw,缺点，瑕疵,,
919,flawed,有瑕疵的，有缺陷的，有错误的,,
920,flawless,完美的，无瑕的,,
921,cunning,狡猾的,,
922,prefigure,预示,,
923,commiserate,同情，怜悯,,
924,intrude,侵入，闯入,,
925,aerial,航空的，飞机的，空中的,,
926,inevitable,不可避免的，必然的,,
927,await,等待,,
928,palliative,缓解痛苦的，治标不治本的,,
929,nomadic,游牧的，游牧生活的,,
930,boast,自豪，夸耀,,
931,untrammeled,不受束缚的，自由自在的,,
932,off-kilter,古怪的，不同寻常的,,
933,malleable,可变的，可塑的，易受外界影响的,,
934,reproduce,再生产，再制造，复制,,
935,debilitate,削弱，使虚弱，使衰弱,,
936,arousal,兴奋，激动，唤起,,
937,paucity,量少，不足，缺乏,,
938,skullduggery,阴谋诡计，欺骗,,
939,fleeting,飞逝的，短暂的，一闪而过的,,
940,opaque,晦涩的，难理解的,,
941,tactical,战术的，策略的,,
942,overt,公开的，明显的,,
943,renaissance,文艺复兴，再生，复活，复兴,,
944,virtual,几乎是……的，虚拟的,,
945,virtually,几乎,,
946,affect,假装，装出,,
947,affection,喜欢，爱,,
948,effect,带来，达成，实现,,
949,ineffectual,毫无效果的，不奏效的,,
950,activist,激进分子，试图带来社会变革的人，激进主义的，激进分子的,,
951,original,起初的，最开始的，原来的，创新的，新颖的,,
952,originality,独创性，新颖，别致,,
953,originate,发源，来自，产生,,
954,astute,敏锐的，精明的,,
955,debut,首秀，首次亮相,,
956,flamboyant,华丽的，炫目的，活力四射的,,
957,respite,喘息之机，暂时缓解,,
958,mascot,吉祥物,,
959,isolated,隔离的，孤立的，单独的,,
960,destructive,破坏性的,,
961,emerge,幸存下来，恢复过来,,
962,emergent,刚出现的，刚兴起的,,
963,emergence,浮现，出现，露头,,
964,modify,修改，改造，改装,,
965,modification ,修改，更改，改变,,
966,perplex,使困惑，使茫然，使费解,,
967,perplexing,使人困惑的，使人茫然的，令人费解的,,
968,nuance,细微差别,,
969,finicky,过分讲究的，挑剔的，难讨好的，过分重视细节的,,
970,valorize,肯定，认可,,
971,prolong,延长，拉长，拖延,,
972,prolonged,长的，漫长的,,
973,circuitous,迂回的，曲折的,,
974,circuitry,电路，电路系统，脑回路，神经通路,,
975,prone,有…倾向的，易于…的，很可能…的,,
976,corrosive,有害的，破坏性的,,
977,conciliatory,安抚的，和解的,,
978,chagrin,懊恼，恼怒，苦恼,,
979,anecdote,道听途说，传闻,,
980,anecdotal ,道听途说的，基于个人经验而非科学研究的，不可靠的,,
981,terrain,地形，土地，地方,,
982,terrestrial,陆生的，长在土壤里的，陆栖的,,
983,extraterrestrial,地球外的，行星际的，宇宙的,,
984,sluggish,缓慢的，慢的,,
985,proliferate,激增，扩散,,
986,proliferation,激增，扩散,,
987,congenial,志趣相投的，合得来的,,
988,investor,投资者，投资人,,
989,startling,惊人的,,
990,objective,公正的，不带偏见的，不带个人感情的，客观的，真实的，目标，目的,,
991,objectivity ,客观，客观性,,
992,understate,把……描述地不像实际那样重要或严重，轻描淡写,,
993,understatement ,程度小于实际的说法，轻描淡写,,
994,interdisciplinary,跨学科的,,
995,undisciplined,不遵守纪律的，不服从命令的,,
996,converge,交汇，趋同，逐渐变得相同,,
997,convergent ,趋同的,,
998,literary,文学的,,
999,gainsay,反驳，反对,,
1000,strenuous,艰苦的，繁重的,,
1001,upkeep,保养，维护,,
1002,precipitate,鲁莽的，草率的,,
1003,ironic,具有讽刺意味的，出乎意料的，令人啼笑皆非的,,
1004,irony,具有讽刺意味的事，出乎意料的事,,
1005,cognition,认知，认知能力,,
1006,cognitive,认知的，认知能力的,,
1007,protracted,延长的，拖延的,,
1008,malfeasance,（尤指公务人员的）违法行为，渎职,,
1009,misfeasance,违法行为,,
1010,recreation,消遣，娱乐，游戏,,
1011,recreational ,消遣的，娱乐的,,
1012,minuscule,非常小的，极小的,,
1013,interest,利益集团，利益,,
1014,self-interest,自身利益，私利,,
1015,disinterested,客观的，公正的，无私的,,
1016,disinterest ,客观，公正，无私,,
1017,abstemious,有节制的,,
1018,precede,处在…之前，先于……出现,,
1019,precedent,先例,,
1020,unprecedented,空前的，史无前例的，没有先例的,,
1021,superior,更好的，更高级的，更优秀的,,
1022,cultivate,培养，建立，试图获得,,
1023,chimera,幻想的事物，不可能的事物,,
1024,inflammatory,使人激愤的，煽动性的,,
1025,laconic,惜字如金的，用词极为简短的,,
1026,strike,给人以……的印象，对……感到震撼,,
1027,striking,惹人注目的，显著的，极大的,,
1028,archaic,极为过时的，极为落伍的,,
1029,bedrock,基本原则，基础,,
1030,recollection,回忆，记忆，记忆力,,
1031,sever,切断，断开,,
1032,cur,劣等狗，杂种狗，恶狗,,
1033,acrimony,尖刻，激烈,,
1034,acrimonious ,尖刻的，激烈的,,
1035,cutting,伤人感情的，挖苦的，尖刻的,,
1036,pristine,未触动过的，未受破坏的，崭新的,,
1037,taciturn,沉默寡言的，不爱说话的,,
1038,effluvium,气味，恶臭,,
1039,resign,使接受，使面对现实,,
1040,resigned,接受现实的，无可奈何的,,
1041,resignation ,接受现实，无可奈何,,
1042,deify,神化，把…奉若神明,,
1043,meager,缺乏的，不足的,,
1044,onerous,艰巨的，繁重的，麻烦的,,
1045,disgorge,吐出,,
1046,venture,有风险的商业活动，敢于，冒险去,,
1047,plaintive,悲伤的，哀怨的,,
1048,distract,使分心，使分散注意力,,
1049,dissenminate,散布（信息等），传播,,
1050,meditation,沉思，深思，冥想,,
1051,hard-boiled,强硬的，不为所动的,,
1052,capricious,反复无常的，容易头脑发热的,,
1053,veneration,极为尊敬,,
1054,obdurate,固执的，顽固不化的,,
1055,obduracy,固执，顽固不化,,
1056,nourishment,食物，营养，养分,,
1057,latent,潜在的，隐伏的，不易察觉的,,
1058,lyrical,富有诗意的,,
1059,merge,使合为一体，使融合,,
1060,spew,喷涌，喷射,,
1061,considerably,相当大地，在很大程度上,,
1062,brackish,味道不好的，令人不快的，使人恶心的,,
1063,vault,金库，保险库,,
1064,assurance,信心，确信，确定,,
1065,trove,宝库，有着大量好东西的地方,,
1066,clandestine,偷偷摸摸，秘密的，暗中的,,
1067,membrane,薄膜，膜状物,,
1068,circumstantial,环境导致的，视情况而定的,,
1069,refer,指的是,,
1070,reference,提及，提到，参考文献,,
1071,perfidious,背信弃义的，不忠实的,,
1072,serendipity,意外发现有益的事物，机缘巧合,,
1073,forbear,忍住，克制,,
1074,tract,大片，一大片土地,,
1075,renounce,宣布放弃，抛弃，弃绝,,
1076,utilize,使用，利用,,
1077,utility,有用，实用,,
1078,utilitarian,有效用的，实用的,,
1079,utilitarianism,功利主义,,
1080,underestimate,低估,,
1081,rattle,使紧张，使担忧，使恼火,,
1082,forge,打造，塑造，形成,,
1083,prime minister,首相,,
1084,distort,歪曲，曲解,,
1085,distortion ,歪曲，曲解,,
1086,convey,表达，表示，传达,,
1087,fall short of,达不到，不符合,,
1088,adroit,灵巧的,,
1089,boundary,分界线，边界，界限,,
1090,revile,辱骂，谩骂，痛斥,,
1091,disdain,鄙视，蔑视,,
1092,negate,使失效，使无效，否定，否认，否认…的存在,,
1093,labor,工人，劳动力,,
1094,labor union ,工会,,
1095,union,工会,,
1096,judicial,司法的，审判的,,
1097,judicious,明断的，明智的，有见地的,,
1098,witty,诙谐的，机智而幽默的,,
1099,unwitting,不知道的，没有意识到的，不知不觉的,,
1100,limpid,清澈的，透明的,,
1101,rarity,稀有，罕见，稀有的事物,,
1102,rarefied,曲高和寡的，玄奥的，高深的,,
1103,strew,散布，使遍布,,
1104,vantage,可以提供良好视野的地方,,
1105,megalomania,自大狂，病态地高估自己的能力或重要性,,
1106,norm,正常情况,,
1107,pose,造成，构成,,
1108,incommensurable,不能相比较的，没有可比性的，截然不同的,,
1109,incommensurate,不相称的，不成比例的,,
1110,shading,细微变化，细微差别,,
1111,supercilious,高傲的，轻蔑的,,
1112,overthrow,推翻，打倒,,
1113,bewilder,使困惑，难住,,
1114,disparate,截然不同的，没有可比性的,,
1115,disparity,巨大差异,,
1116,parity,相同，相等,,
1117,stoicism,默默忍受困难或痛苦,,
1118,marvel,感到惊讶，感到好奇，奇迹，令人惊奇的事物,,
1119,attest,证明，表明,,
1120,absurd,荒谬的，荒唐的，滑稽可笑的,,
1121,prudence,审慎，小心,,
1122,anatomy,解剖学,,
1123,anatomize,剖析，仔细研究,,
1124,mirthful,欢乐的，高兴的,,
1125,gregarious,合群的，爱交友的,,
1126,proxy,代理人,,
1127,infinite,无限的，无穷的,,
1128,finite,有限的，有限度的,,
1129,incite,刺激，激起，煽动,,
1130,impotence,无能，无能为力，束手无策,,
1131,excellence,优秀，卓越，杰出,,
1132,mediate,达成，实现，表达，传达，传递,,
1133,alleviate,缓解，缓和，减轻,,
1134,protean,能扮演多种角色的，多才多艺的,,
1135,thwart,反对，阻挠，挫败,,
1136,inimical,有害的，不利的,,
1137,pensive,沉思的，苦思冥想的，闷闷不乐的,,
1138,slumber,睡觉,,
1139,array,一大堆，很多,,
1140,counterpart,对等的事物，与……地位或作用相似的事物,,
1141,luminous,睿智的，有见识的,,
1142,copious,丰富的，充裕的,,
1143,patchwork,拼凑的东西，混合物,,
1144,callow,稚嫩的，没有经验的,,
1145,standing,地位，身份，名声,,
1146,peripheral,次要的，无关紧要的,,
1147,periphery,次要部分，无关紧要部分,,
1148,spot,发现，发觉,,
1149,autobiography,自传,,
1150,serenity,平静，安详，宁静,,
1151,polarize,使两极分化，使对立,,
1152,portend,预示，预兆,,
1153,portent ,凶兆，不祥之兆,,
1154,mordancy,尖刻，辛辣，刻薄,,
1155,verifiable,可证实的，可核实的,,
1156,verification,核实，证实,,
1157,adulate,过分称赞，拍……的马屁,,
1158,adulation,过分的称赞，拍马屁,,
1159,poignant,令人难过的，令人心痛的,,
1160,contemptuous,表示轻蔑的，鄙视的,,
1161,jovial,快活的，愉快的,,
1162,mediocre,平庸的，普普通通的,,
1163,superfluous,多余的，过剩的,,
1164,countenance,赞同，支持，认可,,
1165,caterwaul,尖叫，嚎叫,,
1166,notoriety,声名狼藉，臭名昭著,,
1167,convivial,快活的，友好的,,
1168,conviviality ,快活，友好,,
1169,sway,影响，支配,,
1170,preachy,讲道似的，带有说教意味的，说教性的,,
1171,incisive,深刻的，切中要害的，一针见血的,,
1172,prying,窥探的，窥视的，过分关注他人私生活的,,
1173,prodigious,巨大的，庞大的,,
1174,prodigy,奇才，天才，神童,,
1175,municipality,城市，自治市,,
1176,avant-garde,先锋派，先锋派支持者,,
1177,pastiche,混成作品，集多种风格与一身的作品,,
1178,antidote,解毒药，解毒剂,,
1179,vituperation,辱骂，谩骂，痛骂,,
1180,cue,暗示，提示,,
1181,onshore,在岸上，近岸，沿岸,,
1182,monolithic,单一的，大一统的,,
1183,insight,洞察力，眼光，深刻的看法或见解,,
1184,insightful,富有洞察力的，有深刻见解的,,
1185,zenith,最高点，顶点，顶峰,,
1186,undermine,破坏，削弱,,
1187,assiduous,刻苦的，勤奋的,,
1188,remedy,疗法，治疗，药品，补救，纠正，矫正,,
1189,balanced,公正的，全面的，不偏颇的,,
1190,quantum,量子,,
1191,in the course of ,在……期间,,
1192,authorship,作者，作者身份,,
1193,pitfall,隐藏的危险，隐患，陷阱,,
1194,facial,面部的,,
1195,jibe,嘲讽，嘲笑,,
1196,gleam,闪烁，发微光,,
1197,felicitous,恰当的，贴切的，令人愉悦的,,
1198,cliquish,小集团的，小集团似的,,
1199,elusive,难以捕捉的，难以得到的，难以定义的，难以理解的,,
1200,elude,逃避，使无法获得，使没有得到,,
1201,conjure,使突然出现，像变戏法一样变出,,
1202,commence,开始,,
1203,therapy,疗法，治疗,,
1204,revision,修订，校订，修改,,
1205,revisionist,修正主义的，主张修改普遍接受事物的,,
1206,prolix,冗长的，啰嗦的,,
1207,prolixity ,冗长，啰唆,,
1208,invigorate,使有活力,,
1209,vigor,活力，热情,,
1210,let alone,更不必说,,
1211,candor,坦率，坦诚，真诚,,
1212,candid,坦率的，直言不讳的,,
1213,ogre,可怕的人，残酷的人，可怕的东西,,
1214,spirited,精神饱满的，生气勃勃的,,
1215,culpability,有罪，对过错负有责任,,
1216,all the more,越发，更加，格外,,
1217,detached,分离的，独立的，不带个人感情的，公正的，超然的,,
1218,detachment,不带个人感情，超脱，公正,,
1219,civic,公民的，市民的,,
1220,unrivaled,无比的，无双的,,
1221,rivalry,竞争,,
1222,quirky,古怪的,,
1223,allege,断言，声称，指责,,
1224,alleged  ,所谓的，不可靠的,,
1225,vilify,污蔑，诋毁，中伤,,
1226,species,物种,,
1227,captious,吹毛求疵的,,
1228,beneficence,善良，行善,,
1229,foster,促进，鼓励，助长,,
1230,immaterial,不重要的，无关紧要的,,
1231,deter,威慑住，吓住,,
1232,depict,描写，描述,,
1233,catalog,清单，目录，列表，统计，记录，编目,,
1234,thrift,节约，节俭,,
1235,exact,要求，强取，勒索，确切的，准确的，,,
1236,exacting,困难的，艰难的，要求高的,,
1237,exactitude ,精确，严谨，分毫不差,,
1238,antibacterial,抗菌的,,
1239,condemnation,谴责,,
1240,plot,情节，一小片土地，计划,,
1241,voracious,贪吃的，狼吞虎咽的，如饥似渴的，极为热情的,,
1242,jockey,操作，操纵,,
1243,peril,极大的危险,,
1244,perilous,极为危险的,,
1245,rebuff,断然拒绝，回绝，冷落,,
1246,devious,阴险的，狡猾的，不诚实的,,
1247,conjecture,推测，猜测,,
1248,conjectural ,推测的，猜测的,,
1249,insignificant,无意义的，微不足道的,,
1250,scandal,丑闻，丑事,,
1251,cavalier,漫不经心的，满不在乎的,,
1252,appraise,评价，评估,,
1253,appraisal,评估，评价，估计,,
1254,spartan,极为简朴的,,
1255,capitulate,投降，停止抵抗,,
1256,proclaim,宣告，宣布，声明,,
1257,regulator,监管者，管理者,,
1258,expel,驱逐，赶走,,
1259,exceptional,异常的，独特的，非典型的,,
1260,exceptionally ,极度的，超乎寻常的,,
1261,unexceptional,普通的，平常的,,
1262,enliven,使有生气，使活跃，使活泼,,
1263,paradox,矛盾，自相矛盾的事物或情况,,
1264,paradoxical ,矛盾的，看上去自相矛盾的,,
1265,synergy,增效作用，两者协同作用的效果大于各自效果之和,,
1266,mimic,模仿,,
1267,calamitous,引起灾难的，灾难性的,,
1268,extirpate,根除，彻底消灭,,
1269,emblematic,象征的，象征性的,,
1270,disconcerting,令人仓皇失措的，令人窘迫的,,
1271,tactful,处事巧妙的，得体的,,
1272,vulgarity,庸俗，粗俗，粗野,,
1273,insular,思想狭隘的,,
1274,histrionic,演戏似的，极为夸张的，矫揉造作的,,
1275,taint,玷污，败坏，使受不良影响,,
1276,circumscribe,限制，约束,,
1277,boon,有益的事物,,
1278,spiral,螺旋形行进，盘旋上升或下降,,
1279,plagiarism,剽窃，抄袭,,
1280,stigma,耻辱，污名,,
1281,truism,自明之理，不言而喻的道理，老生常谈,,
1282,predate,在日期上早于，比……更早出现或发生,,
1283,affinity,喜爱，认同，相似性，联系,,
1284,veracity,真实，真实性,,
1285,partisan,狂热的支持者，偏见的，偏袒的,,
1286,partisanship,偏见，偏袒,,
1287,flee,逃走，逃掉,,
1288,habitat,栖息地,,
1289,habitable,适于居住的，宜居的,,
1290,square,使符合，使一致,,
1291,gigantic,巨大的，庞大的,,
1292,omission,遗漏，疏忽,,
1293,slur,诽谤，诋毁,,
1294,like-minded,志趣相投的，想法相同的,,
1295,facilitate,促进，使容易，使便利,,
1296,supplementary,补充的，增补的,,
1297,ad hoc,专门的，临时的，特别成立的,,
1298,detritus,残渣，屑粒,,
1299,commonplace,寻常的，常见的，寻常的事物，常见的事物,,
1300,bookish,书呆子气的，学究式的,,
1301,transient,短暂的，转瞬即逝的,,
1302,centerpiece,占中心地位的事物，最引人注目的事物,,
1303,impalpable,难以理解的，难以捉摸的,,
1304,persist,坚持，持续存在,,
1305,compound,使恶化，加剧,,
1306,dynamism,富有活力,,
1307,persist,持续存在，（坚定或固执的坚持）,,
1308,persistent ,持续的，挥之不去的,,
1309,planetary,行星的,,
1310,ensue,接着发生，接踵而来，因而产生,,
1311,discrepancy,差异，不符合，不一致,,
1312,unadorned,未经装饰的，朴素的,,
1313,quackery,江湖骗子的医术，冒充内行，招摇撞骗,,
1314,peculiarity,奇特，古怪，奇怪之处,,
1315,peculiarly ,独特的，有特色地,,
1316,gossamer,极为精细的，极为精致的,,
1317,imprint,铭刻，使牢记,,
1318,disavow,否认，不承认,,
1319,melodramatic,夸张的，演戏一样的,,
1320,provenance,起源，来源，出处,,
1321,fashion,方式,,
1322,old-fashioned,过时的，落伍的，老套的,,
1323,egregious,极坏的，令人震惊的,,
1324,consensus,共识，意见一致,,
1325,disinclination,不情愿，不乐意,,
1326,dilatory,拖拉的，拖延的,,
1327,emulate,效仿，努力赶上,,
1328,emulation,效仿,,
1329,chronicle,编年史，记事，叙述,,
1330,interminable,无休止的，没完没了的，冗长不堪的,,
1331,extenuate,减轻，为辩解,,
1332,omnivorous,杂食性的,,
1333,disarray,混乱，紊乱,,
1334,draw,得到，获得，吸引,,
1335,utopia,理想国，乌托邦,,
1336,desertion,抛弃，离弃，舍弃,,
1337,glean,四处搜集,,
1338,marked,明显的，显而易见的,,
1339,cult,狂热崇拜,,
1340,snag,意外的障碍，潜在的困难,,
1341,mar,毁坏，损坏，玷污,,
1342,weird,奇怪的，古怪的,,
1343,scant,不足的，贫乏的，少量的,,
1344,pseudoscience,伪科学,,
1345,camaraderie,友谊，情谊,,
1346,plummet,骤然下跌，陡然变差,,
1347,eminent,出众的，卓越的，显赫的,,
1348,eminence,出众，卓越，显赫,,
1349,maelstrom,极度混乱,,
1350,dismiss,对……不屑一顾，不予仔细考虑,,
1351,dismissal,不屑一顾，不予考虑,,
1352,dismissive,轻蔑的，鄙视的，不屑一顾的,,
1353,exhaustive,全面的，详尽的，彻底的,,
1354,artistry,艺术技巧，艺术水准,,
1355,enigma,迷，难以理解的事物,,
1356,enigmatic,谜一样的，难以理解的,,
1357,minimize,尽可能减小，使减少到最低限度,,
1358,minimal,最小的，尽可能少的，最低限度的,,
1359,detriment,损害，造成损害的事物,,
1360,detrimental,有害的,,
1361,grant,批准，同意，给予，授予，承认,,
1362,take something for granted,认为…是理所当然的,,
1363,wisdom,知识，思想，原则,,
1364,sift,区分，挑选,,
1365,self-styled,自封的，自称的,,
1366,fraught,焦虑的，不安的，令人不安的,,
1367,press,媒体，新闻界,,
1368,pressing,紧迫的，急迫的，迫切的,,
1369,preclude,阻止，防止,,
1370,laypeople,外行，非专业人员,,
1371,lucid,明了易懂的，明晰的,,
1372,lucidity ,清楚，明晰,,
1373,dubious,可疑的，不可靠的，不可信的,,
1374,essentially,本质上，基本上,,
1375,hard-nosed,强硬的，顽强的,,
1376,prophylactic,预防疾病的,,
1377,foreordain,预先注定,,
1378,cynical,犬儒的，蔑视和怀疑人性的，认为人心皆自私的,,
1379,cynicism,犬儒，蔑视和怀疑人性，认为人心皆自私,,
1380,insouciance,无忧无虑，漫不经心，漠不关心,,
1381,reactionary,反动的，极端保守的，反动派的,,
1382,droll,古怪而滑稽的,,
1383,peccadillo,轻罪，过失，小错误,,
1384,unmediated,无中介的，直接的,,
1385,illusion,错觉，幻觉，假象,,
1386,illusionary,虚幻的，造成幻觉的,,
1387,illusory ,虚幻的，虚假的,,
1388,deep-seated,根深蒂固的，难以消除的,,
1389,attribute,把…归因于，指出……的作者，认为……的作者是，属性，特性,,
1390,attributable,因为，由于,,
